en,fi,description,file,hash
"Configuring the Version Control module bundle","Version Control -moduuliryhmän konfigurointi",,site/modules/VersionControl/lib/ProcessModuleConfig.php,2ca4ef1f394f8db64aa52f7bb177e79b
"All configuration settings for the Version Control module bundle can be found from the %s module.","Kaikki asetukset Version Control -moduuliin liittyen löytyvät %s -moduulista.",,site/modules/VersionControl/lib/ProcessModuleConfig.php,40af9696444b1871975876b49f8f07c0
"Output Settings",Tulostusasetukset,,site/modules/VersionControl/lib/ProcessModuleConfig.php,dd906a6f86cf14458b96f65560d0cb99
"Date Format","Päivämäärän muotoilu",,site/modules/VersionControl/lib/ProcessModuleConfig.php,8b6f6d305407f0b686f1974206ad415c
"Used when displaying version history data in page edit.","Käytetään kun versiohistoriaa esitetään sivunmuokkausnäkymässä.",,site/modules/VersionControl/lib/ProcessModuleConfig.php,a47feadcfd0a5717663fd7a673d06ed6
"See the [PHP date](http://www.php.net/manual/en/function.date.php) function reference for more information on how to customize this format.","Lisää tietoa päivämäärän muotoiluasetuksiin liittyen löytyy [PHP:n date-funktion](http://www.php.net/manual/en/function.date.php) ohjeista.",,site/modules/VersionControl/lib/ProcessModuleConfig.php,eda5cc2428c46f14966a92580ce8df1c
"User Name Format","Käyttäjätunnuksen muotoilu",,site/modules/VersionControl/lib/ProcessModuleConfig.php,a1ed5a914b47eaaf640034386816bd5d
"This defines the format and field(s) used to represent user names.","Tämä määrittää muodon ja kentän (tai kentät) joita käytetään kun esitetään käyttäjätunnuksia.",,site/modules/VersionControl/lib/ProcessModuleConfig.php,51a60a5845a88e2ec62743fda4ea35fb
"This string is passed to wirePopulateStringTags() function. Example: {name} ({email}).","Valinnan arvo välitetään wirePopulateStringTags() -funktiolle. Esimerkki: {name} ({email}).",,site/modules/VersionControl/lib/ProcessModuleConfig.php,1864d121561bb6c06178c2baeffa7748
"Diff Settings",Vertailuasetukset,,site/modules/VersionControl/lib/ProcessModuleConfig.php,a8a3da7c5eba7fac7bd358f5012b83e0
"Disable diff","Poista vertailu käytöstä",,site/modules/VersionControl/lib/ProcessModuleConfig.php,b61508996bb43a31d40ee2ebd467da3e
